1,"来一首大悲咒。	2017/12/30 12:36","读一曲叙事的词。	2017/12/30 12:36","大悲咒大悲咒。	2017/12/30 12:37",{"song": "大悲咒"}
13,"快抬不起来。	2017/12/20 21:13","认证某的老婆是谁啊。	2017/12/20 21:14","我要听小苹果。	2017/12/20 21:14",{"song": "小苹果"}
14,"有你真好。	2017/12/22 12:52","姐姐叫什么。	2017/12/22 12:53","唱一首自由飞翔给我听一下。	2017/12/22 12:54",{"song": "自由飞翔"}
15,"在那桃花盛开的地方。	2017/11/29 20:29","郭玲。	2017/11/29 20:31","梦里水乡。	2017/11/29 20:32",{"song": "梦里水乡"}
16,"你傻逼。	2017/11/29 8:11","郭达。	2017/11/29 8:11","首张帝的毛毛歌。	2017/11/29 18:59",{"artist": "张帝", "song": "毛毛歌"}
17,"再唱一首。	2017/12/27 14:09","啊。	2017/12/27 14:11","请再说一遍，儿歌。	2017/12/27 14:19",{"genre": "儿歌"}
18,"渴望。	2017/10/26 22:29","爱的奉献。	2017/10/26 22:32","外婆的澎湖湾。	2017/10/26 22:37",{"song": "外婆的澎湖湾"}
19,"再说人虫又名虫二。	2017/10/26 20:19","小人物的故事，哦。	2017/10/26 20:51","铁杵也能磨成针，满文军。	2017/10/26 20:54",{"code":"No-music"}
20,"你好像你说错了。	2017/10/26 19:28","你叫东方。	2017/10/26 19:28","我南方北方。	2017/10/26 19:28",{"code":"No-music"}
21,"这个轮子电机低配版还有高配版。	2017/12/23 19:13","我不想听故事。	2017/12/23 19:13","我要听歌。	2017/12/23 19:14",{"code":"RANDOM"}
22,"骗我。	2017/11/29 14:56","为什么改的，157？	2017/11/29 14:56","我说的是你甩了他，浪费了。	2017/11/29 14:57",{"code":"No-music"}
23,"咖咖。	2017/10/26 15:10","老浣。	2017/10/26 15:10","下载万能钥匙。	2017/10/26 15:10",{"code":"No-music"}
24,"杀无赦。	2017/11/29 9:50","你说一个字我写一个回故事。	2017/11/29 9:55","说上岗湾。	2017/11/29 9:58",{"code":"No-music"}
25,"我在。	2017/12/27 20:43","我今天心情不好。	2017/12/27 20:43","唱一个。	2017/12/27 20:44",{"code":"No-music"}
26,"Jay Jay。	2017/11/29 14:05","孙伟。	2017/11/29 14:06","第二遍，小薇你好，联系来个手机啊。	2017/11/29 14:06",{"code":"No-music"}
27,"听歌	2017/10/26 0:04","我要听歌	2017/10/26 0:04","嗯，国外一首歌	2017/10/26 13:41",{"tag": "国外"}
28,"日照金沙滩。	2017/11/18 8:06","走天涯。	2017/11/18 8:06","走天涯。	2017/11/18 8:07",{"song": "走天涯"}
29,"她生气了。	2017/12/22 20:44","背童年。	2017/12/22 20:45","这个比听郭静的很烂。	2017/12/22 20:45",{"code":"No-music"}
30,"海青乡海丰村。	2017/10/26 7:07","听歌。	2017/10/26 7:12","听降央卓玛的歌。	2017/10/26 14:26",{"artist": "降央卓玛"}
31,"厦大你就是个傻蛋。	2017/12/14 5:59","你真是个傻蛋。	2017/12/14 5:59","晚安。	2017/12/14 6:00",{"code":"No-music"}
32,"我要听新鸳鸯蝴蝶梦。	2017/10/26 8:23","我要听，上错花轿嫁对郎。	2017/10/26 8:23","我要清晰甜甜的。	2017/10/26 17:40",{"code":"No-music"}
33,"走天涯dj版。	2017/11/29 10:35","小鲜肉。	2017/11/29 10:35","迷茫的爱dj版。	2017/11/29 10:35",{"genre": "dj", "song": "迷茫的爱"}
34,"不然不能走上岸。	2017/12/26 14:01","天空之城。	2017/12/26 14:01","新版天空之城。	2017/12/26 14:03",{"song":"天空之城","tag":"新版"}
35,"蓝爆啦。	2017/11/8 17:31","妈卖包的小姑娘。	2017/11/8 17:32","啦啦啦啦啦啦我身边。	2017/11/8 17:32",{"code":"No-music"}
36,"那么请问几岁了。	2017/12/31 20:56","八岁了。	2017/12/31 20:56","是我同学完全瑞博。	2017/12/31 20:56",{"code":"No-music"}
37,"刘欢的歌。	2017/10/26 20:26","哭诸葛。	2017/10/26 20:26","beyond的哭。	2017/10/26 20:26",{"artist": "beyond","song": "哭"}
38,"跳舞。	2017/11/14 19:49","唱歌。	2017/11/14 19:50","儿歌。	2017/11/15 14:03",{"genre": "儿歌"}
39,"给你说。	2017/11/10 19:56","一头猪和你哥说。	2017/11/10 19:56","你是我的好伙伴。	2017/11/10 19:57",{"code":"No-music"}
40,"王毅。	2017/10/26 13:24","播放一首黄家驹的国语版光辉岁月。	2017/10/26 13:24","刘德华的歌。	2017/10/26 13:26",{"artist": "刘德华"}
41,"给我介绍一下习近平。	2017/11/17 20:30","唱个儿歌。	2017/11/18 11:50","唱一首儿歌。	2017/11/18 18:08",{"genre": "儿歌"}
42,"给我放个经典英文歌。	2017/10/26 12:37","给我放个英文歌曲。	2017/10/26 12:37","你给我放个魔鬼中的天使。	2017/10/26 12:37",{"song": "魔鬼中的天使"}
43,"叫什么名字。	2017/11/29 20:32","打开wifi。	2017/11/29 20:33","放首音乐吧。	2017/11/29 20:35",{"code":"RANDOM"}
44,"侯耀华。	2017/10/26 12:08","大超。	2017/10/26 12:09","那就是你啊，阴道里面那有卖包包配几套没有听到的。	2017/10/26 12:09",{"code":"No-music"}
45,"FM。	2017/10/26 22:29","而非，你声音洪亮点大声的说。	2017/10/26 22:29","宝贝你说我要虫儿飞。	2017/10/26 22:29",{"song": "虫儿飞"}
46,"再讲一个。	2017/12/23 20:53","再讲一个。	2017/12/23 20:53","给我唱首歌。	2017/12/23 20:54",{"code":"RANDOM"}
47,"我自己生病啦。	2017/12/25 11:59","给我讲一个。	2017/12/25 12:01","给我唱一首。	2017/12/25 12:02",{"code":"RANDOM"}
48,"退出。	2017/11/29 18:25","取消。	2017/11/29 18:26","丁咚我要。	2017/11/29 18:26",{"code":"No-music"}
49,"打开音乐，你好零度。	2017/10/26 7:50","贼拉拉的爱你。	2017/10/26 7:50","你好灵动，播放贼拉拉的爱你。	2017/10/26 7:50",{"song": "贼拉拉的爱你"}
50,"你知不知道。	2017/12/15 21:20","你知不知道，把头放在背景的，会做噩梦会做什么噩梦。	2017/12/15 21:20","你知不知道。	2017/12/15 21:21",{"code":"No-music"}
51,"么。	2017/11/27 22:25","找个男朋友吧。	2017/11/27 22:25","我不喜欢你。	2017/11/27 22:25",{"code":"No-music"}
52,"绑定设备。	2017/10/26 20:02","前进。	2017/10/26 20:03","音乐。	2017/10/26 20:04",{"code":"RANDOM"}
53,"一生只爱你。	2017/10/26 9:35","一生只牵你的手。	2017/10/26 9:37","零。	2017/10/26 12:07",{"code":"No-music"}
54,"呀呀。	2017/10/26 11:15","好累好累好疲惫。	2017/10/26 11:16","苏永康。	2017/10/26 17:54",{"code":"No-music"}
55,"谁最漂亮。	2017/12/20 16:21","谁最喜欢哭。	2017/12/20 16:21","是你是你就是你你最喜欢哭。	2017/12/20 16:21",{"code":"No-music"}
56,"播放张学友的你好毒。	2017/11/29 14:38","播放张学友你好毒。	2017/11/29 14:45","花桥流水。	2017/11/29 17:29",{"song": "花桥流水"}
57,"梦中人。	2017/11/29 14:55","农村好一点。	2017/11/29 14:55","a一的新歌吧。	2017/11/29 14:57",{"code":"No-music"}
58,"相亲相爱一家人。	2017/11/29 19:58","天意。	2017/11/29 19:59","中国美。	2017/11/29 20:00",{"song": "中国美"}
59,"仙人从桃树。	2017/11/29 6:51","唐伯虎点秋香dj版。	2017/11/29 6:51","在音乐。	2017/11/29 7:14",{"code":"RANDOM"}
60,"背诵。	2017/12/18 13:34","背诵五年级课文。	2017/12/18 13:34","打扰一下。	2017/12/18 13:36",{"code":"No-music"}
61,"金志文。	2017/11/29 22:17","想说，深化。	2017/11/29 22:19","月光女神。	2017/11/29 22:20",{"song": "月光女神"}
62,"什么女生唱的吗？	2017/12/24 17:13","说完青楼。	2017/12/24 17:13","唱唐诗体操。	2017/12/24 17:13",{"song": "唐诗体操"}
63,"你是小笨。	2017/12/23 14:13","唱歌吧。	2017/12/23 14:13","我爱北京天安门。	2017/12/23 16:58",{"song": "我爱北京天安门"}
64,"最近的加油站。	2017/10/26 17:07","打开音乐。	2017/11/29 15:33","小姐你好。	2017/11/29 16:16",{"code":"No-music"}
65,"播放歌曲。	2017/11/29 11:38","播放歌曲你的歌。	2017/11/29 11:39","套马杆。	2017/11/29 11:44",{"song": "套马杆"}
66,"别闹了。	2017/10/26 14:08","嘎嘎。	2017/10/26 14:37","和谁呢？	2017/10/26 16:28",{"code":"No-music"}
67,"唱首蔡依林的歌。	2017/12/4 8:32","把的歌。	2017/12/4 8:44","唱一首蔡依林的歌。	2017/12/5 8:01",{"artist": "蔡依林"}
68,"回心转意。	2017/11/29 3:09","心在跳情在烧。	2017/11/29 10:18","逍遥叹。	2017/11/29 16:54",{"song": "逍遥叹"}
69,"唱泥娃娃。	2017/12/26 18:48","唱泥娃娃。	2017/12/26 18:52","儿歌蓝精灵。	2017/12/28 8:16",{"genre": "儿歌", "song": "蓝精灵"}
70,"背。	2017/12/25 11:08","向前进。	2017/12/25 11:08","当我。	2017/12/25 11:09",{"code":"No-music"}
71,"鸣咽放。	2017/11/29 1:46","梅艳芳。	2017/11/29 1:46","爱就在眼前。	2017/11/29 2:20",{"code":"No-music"}
72,"你的妈妈是谁。	2017/11/22 16:16","你叫什么名字。	2017/11/22 16:16","给我唱首歌呗。	2017/11/22 16:16",{"code":"RANDOM"}
73,"我不听。	2017/12/29 11:41","历史上今天发生了些什么。	2017/12/29 11:41","张，周杰伦双截棍。	2017/12/29 11:41",{"artist": "周杰伦","song": "双截棍"}
74,"给我唱沈南的歌。	2017/11/29 12:36","我唱的七哥。	2017/11/29 12:36","另一亲爱新歌。	2017/11/29 12:37",{"code":"No-music"}
75,"他说自己很难，必须要跟那个手机你一起的那个手机就可以了。	2017/11/12 12:43","小弟夫妻了，一天大吵了一顿。	2017/11/12 13:22","唱一个一下桌子。	2017/11/12 13:23",{"song": "一下桌子"}
76,"得胜镇双河村二社。	2017/11/29 12:38","别说话。	2017/11/29 12:38","拥抱你的离去。	2017/11/29 12:41",{"code":"No-music"}
77,"你姐姐叫什么名字。	2017/12/23 20:42","你信不信我打死你。	2017/12/23 20:42","讲个儿歌。	2017/12/23 20:42",{"genre": "儿歌"}
78,"甄奇。	2017/10/26 13:54","朦胧？	2017/11/29 11:39","COCO。	2017/11/29 11:39",{"code":"No-music"}
79,"信不信我杀了你。	2017/11/25 10:49","再不唱一首。	2017/11/25 10:49","我要听剑心，否则我杀了你。	2017/11/25 10:50",{"song": "剑心"}
80,"你老师是谁呀。	2017/11/27 19:21","你几岁啦。	2017/11/27 19:21","她说一岁了。	2017/11/27 19:21",{"code":"No-music"}
81,"柏叶山一期导航。	2017/10/26 16:35","你哑巴了小丁小丁你好。	2017/10/26 16:36","说话，小丁你好，打开m m二和m，播放。	2017/10/26 16:36",{"code":"No-music"}
82,"五星红旗迎风飘扬。	2017/12/24 9:16","你。	2017/12/24 9:19","歌唱。	2017/12/24 9:22",{"code":"RANDOM"}
83,"请给我唱一首。	2017/12/17 15:04","天天上网。	2017/12/17 15:04","请给我唱一首。	2017/12/17 15:05",{"code":"RANDOM"}
84,"大家都不知道。	2017/10/26 15:26","AM。	2017/10/26 15:26","你说的意思啥子撒，二你开玩笑，你说的对你说。	2017/10/26 15:34",{"code":"No-music"}
85,"指瑕。	2017/12/30 8:46","你是不是有个朋友叫嘟嘟。	2017/12/30 8:46","请问大海啊故乡。	2017/12/30 8:48",{"code":"No-music"}
86,"我说关闭导航。	2017/11/29 17:23","打开视频。	2017/11/29 17:23","音乐播放到50%。	2017/11/29 17:24",{"code":"No-music"}
87,"快乐兄弟的歌。	2017/10/26 13:10","小苹果。	2017/10/26 13:10","筷子兄弟小苹果。	2017/10/26 13:11",{"artist": "筷子兄弟", "song": "小苹果"}
88,"咱们俩一块玩吧。	2017/12/9 19:40","小白兔。	2017/12/10 11:16","轻音乐。	2017/12/10 11:29",{"genre": "轻音乐"}
89,"娜娜。	2017/10/26 13:52","shuyi。	2017/10/26 13:52","你看你这单了。	2017/10/26 13:52",{"code":"No-music"}
90,"谁的眼泪在飞。	2017/10/26 16:30","萝莉。	2017/10/26 22:32","年轮。	2017/10/26 22:33",{"song": "年轮"}
91,"嗯我要去大兴。	2017/10/26 19:18","不走高速。	2017/10/26 19:19","蓝调。	2017/10/26 19:48",{"code":"No-music"}
92,"诶啦。	2017/11/29 18:33","ina。	2017/11/29 18:34","龟杠com会播。	2017/11/29 18:46",{"code":"No-music"}
93,"人的命天注定。	2017/10/26 11:20","想要日语的吻你。	2017/10/26 11:21","谁在窗外流泪。	2017/10/26 11:23",{"code":"No-music"}
94,"王为。	2017/11/29 17:40","要鲁冰花我要鲁冰花。	2017/11/29 17:41","播放鲁冰花播放雨樱花。	2017/11/29 17:41",{"song": "鲁冰花","song": "雨樱花"}
95,"逆战的歌。	2017/12/28 19:57","海洋。	2017/12/28 19:57","唱一首张杰逆战的歌。	2017/12/28 19:58",{"artist": "张杰","song": "逆战"}
96,"喜欢你。	2017/11/29 17:10","泡沫。	2017/11/29 17:11","上小康。	2017/11/29 17:12",{"code":"No-music"}
97,"西海情歌。	2017/11/29 22:35","平凡之路。	2017/11/29 22:39","蓝量。	2017/11/29 22:41",{"code":"No-music"}
98,"帮我放一首张学友的歌曲	2017/10/26 20:08","随便来首音乐	2017/10/26 20:08","邓紫棋爱你。	2017/10/26 20:08",{"artist": "邓紫棋", "song": "爱你"}
99,"那。	2017/11/23 10:59","哇，收到我的了。	2017/11/23 10:59","他说已经收到，是我的还是女的。	2017/11/23 10:59",{"code":"No-music"}
100,"呀屁股。	2017/12/28 17:34","哎。	2017/12/28 17:34","小苹果。	2017/12/28 17:34",{"song": "小苹果"}
101,"爱你一万年歌词歌曲	2017/11/29 21:37","爱你一万年放一首	2017/11/29 21:37","爱你一万年	2017/11/29 21:37",{"song": "爱你一万年"}
102,"我唱首歌。	2017/12/24 21:06","好。	2017/12/24 21:07","找朋友？	2017/12/25 20:29",{"code":"No-music"}
103,"睡觉。	2017/12/19 19:35","为什么会有沙漠？	2017/12/19 19:36","催眠曲。	2017/12/19 19:38",{"song": "催眠曲"}
104,"好运。	2017/12/22 12:01","小胖是谁。	2017/12/22 12:01","我们一起。	2017/12/22 12:02",{"code":"No-music"}
105,"按一下就和他讲。	2017/12/25 18:20","小朋友可以吃糖吗？	2017/12/25 18:20","可不可以。	2017/12/25 18:20",{"code":"No-music"}
106,"怎么会有抢花？	2017/12/30 8:58","他。	2017/12/30 8:58","唱一首大王叫我来巡山。	2017/12/30 8:59",{"song": "大王叫我来巡山"}
107,"前面谈话。	2017/11/14 19:05","奔驰是什么颜色的。	2017/11/14 19:05","给我唱世上只有妈妈好这首歌。	2017/11/14 19:07",{"song": "世上只有妈妈好"}
108,"嗯。	2017/11/17 8:23","诶嘿嘿。	2017/11/17 8:23","快乐崇拜。	2017/11/17 8:25",{"song": "快乐崇拜"}
109,"我一人之初。	2017/12/30 20:07","我要听。	2017/12/30 20:07","我要听我妈妈爱国的儿歌。	2017/12/30 20:08",{"song": "我妈妈爱国","genre": "儿歌"}
110,"想想吧。	2017/11/5 8:54","朋友。	2017/11/5 8:54","唱歌。	2017/11/5 8:57",{"code":"RANDOM"}
111,"没听清楚。	2017/12/4 15:09","心情那个。	2017/12/4 15:09","唱一首蜻蜓的歌。	2017/12/4 15:10",{"song": "蜻蜓"}
112,"唱一首小小新娘花。	2017/12/23 10:44","唱的儿歌。	2017/12/23 10:47","唱一首朱方之春。	2017/12/23 10:48",{"song": "朱方之春"}
113,"花花。	2017/10/26 17:16","歌曲兰花花。	2017/10/26 17:16","贾剑龙的兰花花。	2017/10/26 18:48",{"artist": "贾剑龙", "song": "兰花花"}
114,"你几岁啦。	2017/12/26 20:26","你叫什么名字。	2017/12/26 20:26","你家住在哪里呀。	2017/12/26 20:26",{"code":"No-music"}
115,"求解。	2017/10/26 17:57","水果拳。	2017/10/26 17:57","跷跷板要两个人玩。	2017/10/26 18:05",{"code":"No-music"}
116,"继续行驶1.5公里，请按时执行，我要嫖娼的两车道。	2017/10/26 12:28","前方一点。	2017/10/26 12:28","la la la la。	2017/10/26 12:28",{"code":"No-music"}
117,"周杰。	2017/10/26 20:06","周杰。	2017/10/26 20:06","鹿晗。	2017/10/26 20:31",{"code":"No-music"}
118,"钢琴曲钢琴曲。	2017/10/26 20:40","给我放郎朗的钢琴。	2017/10/26 20:40","降央卓玛的天边。	2017/10/26 20:47",{"artist": "降央卓玛", "song": "天边"}
119,"来到网吧。	2017/12/30 7:59","说。	2017/12/30 7:59","他们说。	2017/12/30 7:59",{"code":"No-music"}
120,"熊梦熊出没之恶，看行日记。	2017/11/29 22:10","熊出没之开心日记。	2017/11/29 22:12","日兴狮王，抱怨神枪。	2017/11/29 22:13",{"code":"No-music"}
121,"dj音乐。	2017/10/26 15:36","dj音乐。	2017/10/26 15:36","dj音乐。	2017/10/26 15:36",{"genre": "dj"}
122,"爱有头。	2017/10/26 13:11","分开那天。	2017/10/26 13:11","铁齿铜牙纪晓岚党。	2017/10/26 13:14",{"code":"No-music"}
123,"唱两只老虎。	2017/12/20 9:27","唱a。	2017/12/20 9:30","小苹果。	2017/12/20 9:35",{"song": "小苹果"}
124,"丽江。	2017/12/7 22:35","下午在家。	2017/12/7 22:36","不看你的啊。	2017/12/7 22:37",{"code":"No-music"}
125,"播放一首远走高飞。	2017/11/29 7:53","给我播一首成都女生版的。	2017/11/29 7:57","给我放一首漂洋过海来看你。	2017/11/29 11:33",{"song": "漂洋过海来看你"}
126,"小伙伴的名字叫朱瑞熙你记住哦。	2017/12/19 13:50","我说。	2017/12/19 13:50","我的名字叫朱。	2017/12/19 13:50",{"code":"No-music"}
127,"我想要白龙马的诗小苹果。	2017/12/27 19:56","小苹果。	2017/12/27 19:56","小苹果。	2017/12/27 19:57",{"song": "小苹果"}
128,"去邳州市戴庄镇镇政府。	2017/11/29 10:56","去叉河镇镇政府。	2017/11/29 11:29","周杰伦的黑色毛衣。	2017/11/29 13:02",{"artist": "周杰伦", "song": "黑色毛衣"}
129,"垂询热线。	2017/11/29 13:14","我嫌你太笨了，什么都不知道。	2017/11/29 13:15","你什么都不知道，你给我唱个歌让我听一下吧。	2017/11/29 13:15",{"code":"RANDOM"}
130,"我不会说历史。	2017/12/11 19:04","三国演义。	2017/12/11 19:05","点首儿歌。	2017/12/11 19:05",{"genre": "儿歌"}
131,"你个贱人贱人贱人贱人就是贱人。	2017/11/29 14:07","钓鱼岛是中国的吗？	2017/11/29 14:07","是你妈吧。	2017/11/29 14:07",{"code":"No-music"}
132,"不是。	2017/10/26 12:38","导航。	2017/10/26 12:39","远走高飞。	2017/10/26 12:42",{"song": "远走高飞"}
133,"a梦披萨，手机铃声下载。	2017/11/29 11:24","手机铃声下载。	2017/11/29 11:24","暮然手机铃声下载。	2017/11/29 11:27",{"song": "暮然","genre": "手机铃声"}
134,"儿歌。	2017/11/29 21:58","能不能。	2017/11/29 21:59","儿歌。	2017/11/29 21:59",{"genre": "儿歌"}
135,"画江湖之不良，主题曲	2017/10/26 18:53","原点这首歌	2017/10/26 18:54","世上只有妈妈好	2017/10/26 19:15",{"song": "世上只有妈妈好"}
136,"飞机。	2017/11/14 16:33","哎。	2017/11/14 16:33","听儿歌。	2017/11/14 16:34",{"genre": "儿歌"}
137,"我的电话是多少。	2017/11/23 19:53","快来给妈可乐唱个儿歌。	2017/11/23 19:53","唱儿歌。	2017/12/28 11:07",{"genre": "儿歌"}
138,"不过人。	2017/12/7 20:41","读不听沟通啊故事。	2017/12/7 20:41","小燕子。	2017/12/8 20:33",{"song": "小燕子"}
139,"我操。	2017/11/29 8:25","给我找一个成人电影。	2017/11/29 8:26","来点劲爆的音乐。	2017/11/29 8:27",{"tag": "劲爆"}
140,"小苹果。	2017/12/26 9:58","点故事。	2017/12/26 11:26","播放金战高原，播放好汉歌。	2017/12/30 8:46",{"song": "金战高原","song": "好汉歌"}
141,"大鹏。	2017/11/29 12:01","导航。	2017/11/29 12:04","王馨悦。	2017/11/29 12:07",{"artist": "王馨悦"}
142,"你给我。	2017/12/27 17:18","吗？	2017/12/27 17:18","给我听一下的。	2017/12/27 17:19",{"code":"RANDOM"}
143,"放一首。	2017/10/26 10:12","放一首一曲红尘。	2017/10/26 10:12","放一首看透爱情看透你。	2017/10/26 10:14",{"song": "看透爱情看透你"}
144,"梦。	2017/10/26 10:07","电影。	2017/10/26 10:08","泥娃娃。	2017/10/26 10:08",{"code":"No-music"}
145,"搜索。	2017/10/26 21:26","搜索my boo听歌。	2017/10/26 21:27","搜索黄家驹的歌。	2017/11/29 10:33",{"artist": "黄家驹"}
146,"琴心红没酒疯的修和。	2017/11/29 23:34","细细个我就放水，放学烧火煲饭，从水中经过。	2017/11/29 23:35","嘻嘻郭王酒坊学生和包翻烧水中浸过薄。	2017/11/29 23:36",{"code":"No-music"}
147,"说句。	2017/11/2 18:33","难怪你叫小笨笨真的很笨。	2017/11/2 18:33","人教我音乐。	2017/11/2 18:33",{"code":"No-music"}
148,"n8加2傻哦。	2017/11/29 2:43","大家，杀毒，稍后。	2017/11/29 2:44","n8加2多少。	2017/11/29 2:44",{"code":"No-music"}
149,"我要听张雨生的大海。	2017/10/26 10:53","我要听张雨生的大海。	2017/10/26 10:54","我要听张雨生的大海，娃娃说娃娃说你要加哪里有吃饭的时候给我打电话吧我。	2017/10/26 10:55",{"code":"No-music"}
150,"你有是不是要打电话吗？	2017/11/29 14:58","来快歌好吗？	2017/11/29 14:58","你给他打电话吗？	2017/11/29 14:59",{"code":"No-music"}
151,"的	2017/10/26 14:51","我跟你说你这人太厉害了	2017/10/26 14:51","王聪颖凌晨两点能走的留的七点我们就到了	2017/10/26 14:52",{"code":"No-music"}
152,"那好你就休息吧。	2017/12/5 13:36","歌曲。	2017/12/5 13:36","小苹果。	2017/12/6 8:56",{"song": "小苹果"}
153,"给我唱一首小苹果。	2017/11/24 14:49","唱小鸡小鸡。	2017/11/24 14:52","找你说，谁说梅花没有泪。	2017/11/24 14:54",{"song": "谁说梅花没有泪"}
154,"放一首窗外。	2017/11/29 8:09","放一首不要连分手都骗我。	2017/11/29 8:54","放一首安妮。	2017/11/29 12:32",{"song": "安妮"}
155,"这个名字有几画。	2017/12/20 18:18","唱一首什么歌。	2017/12/20 18:18","帮我唱首歌吧，我的未来不是梦。	2017/12/20 18:27",{"song": "我的未来不是梦"}
156,"拜拜。	2017/10/26 15:06","完全没没下完，等一下过来我就记得不过了他现在去医院让他外婆要送她去那我。	2017/10/26 19:14","刺伤的时候打几十块钱，你要杀猪你站在自己公司里查到，我也不知道我现在在干嘛我现在他妈的胸卡我修好了没还我不是啊你不说了吗，这两天我们是去北京玩然后我跟我姐说让他给我钱啊加上我只有几千块钱微信全部还进去了100多块钱几百块钱跟你不是说要么要不要交给我我这边几天都哭了我就走7400多块钱现在还能剩1000多块钱。	2017/10/26 19:16",{"code":"No-music"}
157,"水怪妈妈的故事。	2017/12/20 22:01","小贝给我想听首诗。	2017/12/21 6:57","小宝贝。	2017/12/21 6:58",{"code":"No-music"}
158,"王二妮的扇贝民歌。	2017/11/29 17:58","嘿嘿。	2017/11/29 18:11","听阿爆的塞北民歌。	2017/11/29 19:30",{"artist": "阿爆","genre": "塞北民歌"}
159,"武汉的天气。	2017/11/1 16:05","就说你爸那个就是那个手机那个手机卡上的。	2017/11/1 16:06","之后就可以连接wifi下载了，就是就是我进入wifi的啊。	2017/11/1 16:06",{"code":"No-music"}
160,"把行车记录仪关掉。	2017/10/26 18:12","怎么用？	2017/10/26 18:12","你好想听。	2017/10/26 18:15",{"code":"No-music"}
161,"跳个舞。	2017/11/29 19:00","唱首歌。	2017/11/29 19:01","阿光。	2017/11/29 19:02",{"artist": "阿光"}
162,"播放许巍的歌。	2017/10/26 7:22","播放许巍的歌。	2017/10/26 7:26","美丽世界的孤儿。	2017/10/26 16:22",{"song": "美丽世界的孤儿"}
163,"笑。	2017/12/3 22:21","小苹果小苹果。	2017/12/3 22:21","小苹果。	2017/12/21 14:42",{"song": "小苹果"}
164,"是网络不稳定。	2017/11/16 10:33","随即。	2017/11/16 10:34","怎样把你放到服务器上播放的那个下载那个强奸。	2017/11/16 10:34",{"code":"No-music"}
165,"我要听简单爱。	2017/10/26 22:17","我要听下雨的时候会想你。	2017/10/26 22:19","我要听关不上的窗。	2017/10/26 22:27",{"song": "关不上的窗"}
166,"新条侠侣。	2017/11/29 14:30","王书龙。	2017/11/29 14:33","情深深雨蒙蒙。	2017/11/29 14:38",{"song": "情深深雨蒙蒙"}
167,"放大地。	2017/11/29 16:10","导航矿大。	2017/11/29 16:10","你好想去苏州苏州，没事了。	2017/11/29 23:27",{"code":"No-music"}
168,"播放黄家驹的不再犹豫。	2017/10/26 14:06","我有啥都不帮忙，毛病，快点我现在我以为放学。	2017/10/26 19:14","我怎么哭了文件吗？	2017/10/26 19:14",{"code":"No-music"}
169,"范大伟。	2017/11/29 20:27","从小新厂。	2017/11/29 20:27","做杂事的明天应该今天做完了今天打死你住在明天还要搞个时间让我只想找一个完全我自己搞的时候我也会想到这周之内我要把艾利的诉状写好你但是你如果是做那个杂志的话，找一下。	2017/11/29 20:28",{"code":"No-music"}
170,"最后一个兵	2017/11/29 17:22","真滴好想你	2017/11/29 17:23","好想你	2017/11/29 17:23",{"code":"No-music"}
171,"茄子。	2017/11/29 16:05","西瓜。	2017/11/29 16:07","音乐。	2017/11/29 16:07",{"code":"RANDOM"}
172,"我妹妹的名字叫什么。	2017/12/30 23:11","他姐姐的名字叫什么。	2017/12/30 23:11","放首歌给我们听。	2017/12/30 23:12",{"code":"RANDOM"}
